locationDetails.name,locationDetails.locationId,locationDetails.kioskId,locationDetails.addressLine1,locationDetails.addressLine2,locationDetails.addressLine3,locationDetails.city,locationDetails.state,locationDetails.country,locationDetails.postalCode,locationDetails.distance,locationDetails.distanceuom,locationDetails.retailerId,locationDetails.latitude,locationDetails.longitude,locationOperatingHours.monHours,locationOperatingHours.tueHours,locationOperatingHours.wedHours,locationOperatingHours.thuHours,locationOperatingHours.friHours,locationOperatingHours.satHours,locationOperatingHours.sunHours,locationPhone.addToPhone,locationPhone.phone,locationServices.sendMoney,locationServices.receiveMoney,locationServices.billPayment,locationServices.addToPhone,locationServices.moneyOrder,locationServices.recCurrencies,locationServices.sendCurrencies,locationServices.xpressPackage,locationServices.purchaseMoneygramCard,locationServices.reloadMoneygramCard,locationServices.receiveToCard,locationServices.payWithCash,locationServices.reloadOtherCard,locationServices.payPal,locationServices.coinMe
CAFE DES SPORTS - ST MICHEL MONT MERCURE,69490363,MP00044792,1 RUE DE L EGLISE,,,ST MICHEL MONT MERCURE,,FR,85700,66.645499797285,km,291105211,46.83,-0.883948,06:00 AM - 10:00 PM,06:00 AM - 10:00 PM,06:00 AM - 10:00 PM,06:00 AM - 10:00 PM,06:00 AM - 10:00 PM,06:00 AM - 10:00 PM,06:00 AM - 10:00 PM,False,0251572021,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
GERALDINE BERTRAND BACHELIER GARDET - MA,73196019,MP00045094,80 GRAND RUE,,,MAULEON,,FR,79700,68.9123381525217,km,291442872,46.9237,-0.753093,07:00 AM - 08:00 PM,07:00 AM - 08:00 PM,07:00 AM - 08:00 PM,07:00 AM - 08:00 PM,07:00 AM - 08:00 PM,08:00 AM - 08:00 PM,12:00 AM - 12:00 AM,False,549814099,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
BAR DE LA POSTE - MAULEON,70525861,,14 GRAND RUE,,,MAULEON,,FR,79700,69.1591047805604,km,291182933,46.923,-0.749979,08:00 AM - 08:00 PM,12:00 AM - 12:00 AM,08:00 AM - 08:00 PM,08:00 AM - 08:00 PM,08:00 AM - 08:00 PM,09:00 AM - 08:00 PM,10:00 AM - 08:00 PM,False,0549814402,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
LE RELAIS DU LAYON - CHEMILLE EN ANJOU,74195514,,9 PLACE SAINT PIERRE DE VALANJOU,,,CHEMILLE EN ANJOU,,FR,49670,72.4704248693551,km,291526557,47.2133,-0.594124,07:00 AM - 02:00 PM,07:00 AM - 07:30 PM,07:00 AM - 02:00 PM,07:00 AM - 07:00 PM,07:00 AM - 07:00 PM,08:00 AM - 01:00 PM,08:00 AM - 12:30 PM,False,241454312,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
ABP - ANGERS,73869346,,79 AVENUE DU GENERAL PATTON,,,ANGERS,,FR,49000,78.1855693924666,km,291496156,47.4733,-0.586509,10:00 AM - 08:00 PM,10:00 AM - 08:00 PM,10:00 AM - 08:00 PM,10:00 AM - 08:00 PM,10:00 AM - 08:00 PM,10:00 AM - 08:00 PM,12:00 AM - 12:00 AM,False,641572391,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
HALLES DIS - MONTOURNAIS,73905394,MP00045137,9 PLACE DU CHEVALIER JEHAN,,,MONTOURNAIS,,FR,85700,80.0327357408163,km,291499829,46.7414,-0.763581,07:00 AM - 07:00 PM,07:00 AM - 07:00 PM,07:00 AM - 07:00 PM,07:00 AM - 07:00 PM,07:00 AM - 07:00 PM,07:00 AM - 07:00 PM,08:00 AM - 12:30 PM,False,251610216,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
AFRICA STAR CAFE - ANGERS,72710784,,5 RUE PIERRE LISE,,,ANGERS,,FR,49100,81.244135704943,km,291428952,47.4727,-0.542696,08:00 AM - 08:00 PM,08:00 AM - 08:00 PM,08:00 AM - 08:00 PM,08:00 AM - 08:00 PM,08:00 AM - 08:00 PM,08:00 AM - 08:00 PM,08:00 AM - 08:00 PM,False,270731389,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
DAMAS ALIMENTATION EXOTIQUE - ANGERS,67566257,,42 BOULEVARD SAINT MICHEL,,,ANGERS,,FR,49100,81.3158676850166,km,977859651,47.4733,-0.542028,09:00 AM - 10:30 PM,09:00 AM - 10:30 PM,09:00 AM - 10:30 PM,09:00 AM - 10:30 PM,09:00 AM - 10:30 PM,09:00 AM - 10:30 PM,09:00 AM - 10:30 PM,False,952285300,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
MOMO CHAUSSURES - ANGERS,71160940,,95 BOULEVARD SAINT MICHEL,,,ANGERS,,FR,49000,81.3801625835009,km,291238089,47.4737,-0.541344,10:00 AM - 08:00 PM,10:00 AM - 08:00 PM,10:00 AM - 08:00 PM,10:00 AM - 08:00 PM,10:00 AM - 08:00 PM,10:00 AM - 08:00 PM,12:00 AM - 12:00 AM,False,241548473,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
LE PALAIS 49 - ANGERS,72054990,,29 RUE LOUIS GAIN,,,ANGERS,,FR,49100,81.4462841548791,km,291318199,47.4685,-0.537612,10:00 AM - 11:59 PM,10:00 AM - 11:59 PM,10:00 AM - 11:59 PM,10:00 AM - 11:59 PM,10:00 AM - 11:59 PM,10:00 AM - 11:59 PM,10:00 AM - 11:59 PM,False,651274982,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
BAZAR JEAN XXIII - ANGERS,67281590,,6 CENTRE COMMERCIAL JEAN ZUP DES ROSERAIES,,,ANGERS,,FR,49000,84.1914421850766,km,898195619,47.5018,-0.517146,09:30 AM - 08:00 PM,09:30 AM - 08:00 PM,09:30 AM - 08:00 PM,09:30 AM - 08:00 PM,09:30 AM - 08:00 PM,09:30 AM - 08:00 PM,09:30 AM - 08:00 PM,False,959057033,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
TABAC MAG PRESSE - BRUZ,71933863,MP00045025,14 PLACE DU DOCTEUR JOLY,,,BRUZ,,FR,35170,90.798097523398,km,291312439,48.0245,-1.74659,07:00 AM - 07:15 PM,07:00 AM - 07:15 PM,07:00 AM - 07:15 PM,07:00 AM - 07:15 PM,07:00 AM - 07:15 PM,08:00 AM - 07:15 PM,09:00 AM - 12:30 PM,False,299526133,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
WA 2 WEMA - BRESSUIRE,73366836,,10 PLACE DU 5 MAI,,,BRESSUIRE,,FR,79300,90.8071306074027,km,291470406,46.839,-0.492671,09:30 AM - 09:00 PM,09:30 AM - 09:00 PM,09:30 AM - 09:00 PM,09:30 AM - 09:00 PM,09:30 AM - 09:00 PM,09:30 AM - 09:00 PM,09:30 AM - 09:00 PM,False,780489724,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
L'EPICERIE PRES DE CHEZ VOUS ! - ST JACQ,73248695,,10-12 PLACE JULES VALLES,,,ST JACQUES DE LA LANDE,,FR,35136,95.2979849697042,km,291462571,48.0679,-1.72139,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,False,986173470,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
EPICERIE MILAN - RENNES,73033059,,2 RUE DE SUISSE,,,RENNES,,FR,35200,96.8560502238957,km,291429156,48.086,-1.66726,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,False,751066556,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
SOS PHONE 35 - RENNES,72172995,,2 RUE GOUVERNEUR GENERAL YVES CHATEL,,,RENNES,,FR,35000,96.9693507122156,km,291333668,48.0854,-1.69305,12:00 PM - 09:00 PM,12:00 PM - 09:00 PM,12:00 PM - 09:00 PM,12:00 PM - 09:00 PM,12:00 PM - 09:00 PM,12:00 PM - 09:00 PM,12:00 AM - 12:00 AM,False,257217494,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
LE SARAH B. - RENNES,71705842,MP00044996,2 SQUARE SARAH BERNHARDT,,,RENNES,,FR,35200,97.5128660232642,km,291295959,48.0911,-1.68089,08:00 AM - 07:00 PM,08:00 AM - 07:00 PM,08:00 AM - 07:00 PM,08:00 AM - 07:00 PM,08:00 AM - 07:00 PM,08:00 AM - 07:00 PM,12:00 AM - 12:00 AM,False,3299509127,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
TABAC DU PILATE - SAINT JACQUES DE LA LA,70386547,MP00044871,238 RUE DE NANTES,,,SAINT JACQUES DE LA LANDE,,FR,35136,98.0274523323934,km,291170584,48.0951,-1.69028,06:00 AM - 10:00 PM,06:00 AM - 10:00 PM,06:00 AM - 10:00 PM,06:00 AM - 10:00 PM,06:00 AM - 10:00 PM,06:00 AM - 10:00 PM,06:00 AM - 10:00 PM,False,0299313594,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
MOBILE SHOP 3 SOLEILS - RENNES,74428595,MP00010571,18-20 RU D'ISLY LES 3 SOLEILS,,,RENNES,,FR,35000,99.0835650668543,km,291546818,48.1055,-1.67791,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,12:00 AM - 12:00 AM,False,290894173,True,True,False,False,False,,,False,False,False,False,False,False,False,False
BRETAGNE FIX PHONE - RENNES,73974833,,9 RUE DU PUITS MAUGER,,,RENNES,,FR,35000,99.1357296447563,km,291507038,48.1057,-1.68196,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,False,221687250,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
EXOTIQUE DA BANDA - RENNES,73861140,,1 PLACE DU MARECHAL JUIN,,,RENNES,,FR,35000,99.141567894949,km,291499290,48.1059,-1.68031,09:30 AM - 07:30 PM,09:30 AM - 07:30 PM,09:30 AM - 07:30 PM,09:30 AM - 07:30 PM,09:30 AM - 07:30 PM,09:30 AM - 07:30 PM,12:00 AM - 12:00 AM,False,663278701,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
RENNES MOBILE SHOP - RENNES,72634080,,6 RUE DU PUITS MAUGER,,,RENNES,,FR,35000,99.2091229638255,km,291403198,48.1064,-1.68108,10:00 AM - 08:00 PM,10:00 AM - 08:00 PM,10:00 AM - 08:00 PM,10:00 AM - 08:00 PM,10:00 AM - 08:00 PM,10:00 AM - 08:00 PM,12:00 AM - 12:00 AM,False,223441266,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
CYBERPHONE DU MAIL - RENNES,74252509,,53 MAIL FRANCOIS MITTERRAND,,,RENNES,,FR,35000,99.5626216630689,km,291530348,48.109,-1.69018,09:30 AM - 08:00 PM,09:30 AM - 08:00 PM,09:30 AM - 08:00 PM,09:30 AM - 08:00 PM,09:30 AM - 08:00 PM,09:30 AM - 08:00 PM,11:00 AM - 08:00 PM,False,299606725,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
TAXIPHONE VILLEJEAN - RENNES,68960441,,19 21 COURS KENNEDY,,,RENNES,,FR,35000,101.074505126433,km,291067382,48.1213,-1.70928,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,False,0299545115,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
CHINGU-TECHMULTISERVICES - RENNES,73512376,,30 COURS PRESIDENT JF KENNEDY,,,RENNES,,FR,35000,101.103381332058,km,291468406,48.1212,-1.71331,08:30 AM - 10:00 PM,08:30 AM - 10:00 PM,08:30 AM - 10:00 PM,08:30 AM - 10:00 PM,08:30 AM - 10:00 PM,08:30 AM - 10:00 PM,08:30 AM - 10:00 PM,False,986237257,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
REPROMEDIA 35 - RENNES,70612415,,COMMERCE A BATIMENT ESPACE SOCIAL COURS,,,RENNES,,FR,35000,101.116763978957,km,291188672,48.1215,-1.71129,08:00 AM - 09:00 PM,08:00 AM - 09:00 PM,08:00 AM - 09:00 PM,08:00 AM - 09:00 PM,08:00 AM - 09:00 PM,08:00 AM - 09:00 PM,08:00 AM - 09:00 PM,False,35299140472,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
